productId,sellPrice,buyPrice,timeStamp
ENCHANTED_LEATHER,7237.8,6576.3,2024-04-22 10:53:19
ENCHANTED_EMERALD_BLOCK,153967.2,147310.8,2024-04-22 10:53:19
LEATHER,126.7,93.9,2024-04-22 10:53:19
IRON_INGOT,13.1,9.5,2024-04-22 10:53:19
ENCHANTED_OBSIDIAN,4207.1,4112.0,2024-04-22 10:53:19
productId,sellPrice,buyPrice,timeStamp
ENCHANTED_MELON,333.0,308.9,2024-04-22 10:54:20
ENCHANTED_MELON_BLOCK,51356.9,50861.2,2024-04-22 10:54:20
DIAMOND,10.0,6.9,2024-04-22 10:54:20
SAND,30.0,15.6,2024-04-22 10:54:20
ENCHANTED_DIAMOND_BLOCK,204292.9,202308.9,2024-04-22 10:54:20
OBSIDIAN,34.5,22.7,2024-04-22 10:54:20
ENCHANTED_EMERALD,1402.3,1011.8,2024-04-22 10:54:20
MELON,2.9,0.7,2024-04-22 10:54:20
GOLD_INGOT,6.3,2.6,2024-04-22 10:54:20
EMERALD,8.7,4.1,2024-04-22 10:54:20
ENCHANTED_DIAMOND,1408.6,1317.1,2024-04-22 10:54:20
ENCHANTED_SAND,2424.9,2095.5,2024-04-22 10:54:20
ENCHANTED_LEATHER,7242.7,6576.3,2024-04-22 10:54:20
ENCHANTED_EMERALD_BLOCK,153967.2,147310.8,2024-04-22 10:54:20
LEATHER,126.7,93.9,2024-04-22 10:54:20
IRON_INGOT,13.1,9.5,2024-04-22 10:54:20
ENCHANTED_OBSIDIAN,4207.1,4112.0,2024-04-22 10:54:20
productId,sellPrice,buyPrice,timeStamp
ENCHANTED_MELON,333.0,308.8,2024-04-22 10:55:21
ENCHANTED_MELON_BLOCK,51356.3,50861.1,2024-04-22 10:55:21
DIAMOND,10.0,6.9,2024-04-22 10:55:21
SAND,30.0,15.6,2024-04-22 10:55:21
ENCHANTED_DIAMOND_BLOCK,204294.2,202308.5,2024-04-22 10:55:21
OBSIDIAN,34.5,22.7,2024-04-22 10:55:21
ENCHANTED_EMERALD,1402.1,1011.9,2024-04-22 10:55:21
MELON,2.9,0.7,2024-04-22 10:55:21
GOLD_INGOT,6.3,2.6,2024-04-22 10:55:21
EMERALD,8.7,4.1,2024-04-22 10:55:21
ENCHANTED_DIAMOND,1408.6,1316.9,2024-04-22 10:55:21
ENCHANTED_SAND,2424.9,2095.5,2024-04-22 10:55:21
ENCHANTED_LEATHER,7242.7,6576.3,2024-04-22 10:55:21
ENCHANTED_EMERALD_BLOCK,153967.2,147309.7,2024-04-22 10:55:21
LEATHER,126.6,93.9,2024-04-22 10:55:21
IRON_INGOT,13.1,9.5,2024-04-22 10:55:21
ENCHANTED_OBSIDIAN,4207.3,4112.1,2024-04-22 10:55:21
productId,sellPrice,buyPrice,timeStamp
ENCHANTED_MELON,333.0,308.7,2024-04-22 10:56:21
ENCHANTED_MELON_BLOCK,51338.4,50861.1,2024-04-22 10:56:21
DIAMOND,10.0,6.9,2024-04-22 10:56:21
SAND,30.0,15.6,2024-04-22 10:56:21
ENCHANTED_DIAMOND_BLOCK,204284.8,202308.5,2024-04-22 10:56:21
OBSIDIAN,34.5,22.7,2024-04-22 10:56:21
ENCHANTED_EMERALD,1402.1,1011.9,2024-04-22 10:56:21
MELON,2.9,0.6,2024-04-22 10:56:21
GOLD_INGOT,6.3,2.6,2024-04-22 10:56:21
EMERALD,8.7,4.1,2024-04-22 10:56:21
ENCHANTED_DIAMOND,1408.6,1317.2,2024-04-22 10:56:21
ENCHANTED_SAND,2424.9,2095.5,2024-04-22 10:56:21
ENCHANTED_LEATHER,7242.7,6576.3,2024-04-22 10:56:21
ENCHANTED_EMERALD_BLOCK,153967.2,147309.7,2024-04-22 10:56:21
LEATHER,126.6,93.9,2024-04-22 10:56:21
IRON_INGOT,13.1,9.5,2024-04-22 10:56:21
ENCHANTED_OBSIDIAN,4207.3,4112.1,2024-04-22 10:56:21
